McCook County, South Dakota, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,0.88
201002,0.52
201003,1.20
201004,2.27
201005,1.81
201006,8.46
201007,8.42
201008,4.45
201009,4.46
201010,0.96
201011,0.09
201012,0.90
201101,0.85
201102,1.23
201103,0.93
201104,3.45
201105,5.10
201106,3.55
201107,3.60
201108,2.24
201109,0.26
201110,0.87
201111,0.03
201112,0.30
201201,0.54
201202,2.08
201203,0.40
201204,3.33
201205,6.48
201206,1.29
201207,0.56
201208,1.85
201209,0.58
201210,1.09
201211,0.44
201212,1.09
201301,0.27
201302,0.96
201303,1.27
201304,3.10
201305,6.19
201306,3.80
201307,2.25
201308,2.55
201309,1.23
201310,4.29
201311,0.41
201312,0.66
201401,0.15
201402,0.61
201403,1.04
201404,1.24
201405,1.85
201406,7.55
201407,1.04
201408,4.00
201409,2.11
201410,0.66
201411,0.39
201412,1.43
201501,0.41
201502,0.56
201503,0.19
201504,1.32
201505,3.07
201506,3.64
201507,5.11
201508,3.72
201509,2.47
201510,1.57
201511,1.81
201512,1.26
201601,0.38
201602,0.59
201603,1.64
201604,3.34
201605,5.17
201606,2.03
201607,2.19
201608,2.36
201609,3.80
201610,1.90
201611,1.65
201612,1.34
